category,field_label,db_column_name,html_input_type,db_field_type
Progress Reporting,Schedule update narrative,schedule_update_narrative,textarea,TEXT
Progress Reporting,Issues / concerns narrative,issues_concerns_narrative,textarea,TEXT
Progress Reporting,Site documentation photos,site_documentation_photos,file,VARCHAR(500)
Progress Reporting,Annual report date,annual_report_date,date,DATE
Progress Reporting,Annual report prepared by,annual_prepared_by,text,VARCHAR(150)
Progress Reporting,Annual % project completion,annual_completion_pct,number,DECIMAL(5,2)
Progress Reporting,Annual potential risks,annual_potential_risks,text,VARCHAR(255)
Progress Reporting,Annual schedule update,annual_schedule_update,text,VARCHAR(255)
Progress Reporting,Annual issues / concerns,annual_issues_concerns,text,VARCHAR(255)
Reimbursement,Reimbursement request date,reimbursement_request_date,date,DATE
Reimbursement,Reimbursement request ID,reimbursement_request_id,text,VARCHAR(50)
Reimbursement,Reimbursement form upload,reimbursement_form_file,file,VARCHAR(500)
Reimbursement,Invoices included (list),invoices_included,textarea,TEXT
Reimbursement,Total amount requested (this submission),total_amount_requested,number,DECIMAL(15,2)
Reimbursement,MTIF-eligible amount (based on ratio),mtif_eligible_amount,number,DECIMAL(15,2)
Reimbursement,Cumulative reimbursed amount,cumulative_reimbursed_amount,number,DECIMAL(15,2)
Reimbursement,Remaining grant balance,remaining_grant_balance,number,DECIMAL(15,2)
Reimbursement,Two reimbursements per month rule flag,two_per_month_flag,select (Yes/No),VARCHAR(3)
Reimbursement,ACH form on file,ach_form_on_file,select (Yes/No),VARCHAR(3)
Closeout,Jurisdiction (closeout),closeout_jurisdiction,text,VARCHAR(150)
Closeout,Project name (closeout),closeout_project_name,text,VARCHAR(255)
Closeout,Project number (closeout),closeout_project_number,text,VARCHAR(50)
Closeout,Year project funded (closeout),closeout_year_funded,number,INTEGER
Closeout,Date of project award (closeout),closeout_award_date,date,DATE
Closeout,Initial local funds budgeted (dollars),closeout_initial_local_funds,number,DECIMAL(15,2)
Closeout,Initial MTIF funds budgeted (dollars),closeout_initial_mtif_funds,number,DECIMAL(15,2)
Closeout,Initial other funds budgeted (dollars),closeout_initial_other_funds,number,DECIMAL(15,2)
Closeout,Initial total project budget (dollars),closeout_initial_total_budget,number,DECIMAL(15,2)
Closeout,Actual local funds expended (dollars),closeout_actual_local_funds,number,DECIMAL(15,2)
Closeout,Actual MTIF funds expended (dollars),closeout_actual_mtif_funds,number,DECIMAL(15,2)
Closeout,Actual other funds expended (dollars),closeout_actual_other_funds,number,DECIMAL(15,2)
Closeout,Total funds expended (dollars),closeout_total_funds_expended,number,DECIMAL(15,2)
Closeout,Construction completion date,closeout_completion_date,date,DATE
Closeout,Final completion photos,closeout_completion_photos,file,VARCHAR(500)
Closeout,Residual/unexpended funds note,closeout_residual_funds_note,textarea,TEXT
